file,district_id,district_code,date,partner,intervention_id,primary_risk,secondary_risk,severity,trend_cue_included
field_note_001.txt,D114,D-114,2024-11-03,SunBuild Initiative,I08,financing_disbursement,,4,False
field_note_002.txt,D013,D-013,2024-07-28,InfraTrust Consortium,I02,partner_capacity,,3,False
field_note_003.txt,D009,D-009,2024-08-11,SunBuild Initiative,I09,extreme_event_disruption,,5,False
field_note_004.txt,D079,D-079,2024-04-21,Delta Engineering,I08,permitting_regulatory,,4,False
field_note_005.txt,D095,D-095,2023-06-11,RapidRelief Local,I04,community_buy_in,,3,False
field_note_006.txt,D109,D-109,2024-11-24,CommunityFirst,I03,extreme_event_disruption,,2,True
field_note_007.txt,D022,D-022,2023-10-15,CivicResilience NGO,I10,partner_capacity,supply_chain,2,False
field_note_008.txt,D012,D-012,2024-12-08,RapidRelief Local,I02,community_buy_in,,3,False
field_note_009.txt,D003,D-003,2023-01-01,RapidRelief Local,I07,governance_fraud,,4,False
field_note_010.txt,D051,D-051,2024-04-28,SunBuild Initiative,I13,extreme_event_disruption,,3,False
field_note_011.txt,D052,D-052,2023-05-21,RapidRelief Local,I04,community_buy_in,,3,True
field_note_012.txt,D091,D-091,2024-07-07,RapidRelief Local,I16,m_e_data_gaps,,2,False
field_note_013.txt,D092,D-092,2023-09-17,CivicResilience NGO,I08,procurement_delay,financing_disbursement,4,True
field_note_014.txt,D084,D-084,2023-03-26,BlueRiver Implementers,I17,governance_fraud,community_buy_in,3,False
field_note_015.txt,D048,D-048,2024-11-10,Delta Engineering,I08,community_buy_in,permitting_regulatory,2,True
field_note_016.txt,D043,D-043,2023-09-03,Delta Engineering,I17,governance_fraud,,4,True
field_note_017.txt,D017,D-017,2023-05-21,InfraTrust Consortium,I15,community_buy_in,,1,True
field_note_018.txt,D070,D-070,2023-01-08,Delta Engineering,I03,permitting_regulatory,,5,False
field_note_019.txt,D039,D-039,2023-02-19,Delta Engineering,I07,community_buy_in,,4,False
field_note_020.txt,D040,D-040,2023-10-01,GreenWorks Alliance,I07,contractor_quality,community_buy_in,2,False
field_note_021.txt,D034,D-034,2024-05-26,GreenWorks Alliance,I17,governance_fraud,,3,True
field_note_022.txt,D062,D-062,2024-06-23,SunBuild Initiative,I15,financing_disbursement,,2,False
field_note_023.txt,D009,D-009,2024-06-23,RapidRelief Local,I05,contractor_quality,,4,False
field_note_024.txt,D055,D-055,2023-04-16,GreenWorks Alliance,I11,m_e_data_gaps,,2,False
field_note_025.txt,D028,D-028,2023-09-17,InfraTrust Consortium,I06,supply_chain,financing_disbursement,3,False
field_note_026.txt,D016,D-016,2024-01-21,InfraTrust Consortium,I18,supply_chain,partner_capacity,5,False
field_note_027.txt,D090,D-090,2024-11-17,RapidRelief Local,I02,community_buy_in,,2,True
field_note_028.txt,D041,D-041,2023-10-08,HeatSafe Partners,I11,procurement_delay,,5,True
field_note_029.txt,D056,D-056,2024-05-12,Delta Engineering,I05,procurement_delay,,2,False
field_note_030.txt,D039,D-039,2023-04-16,BlueRiver Implementers,I13,community_buy_in,contractor_quality,4,True
field_note_031.txt,D089,D-089,2023-11-12,Delta Engineering,I18,financing_disbursement,,3,False
field_note_032.txt,D106,D-106,2024-06-02,HeatSafe Partners,I01,contractor_quality,,4,False
field_note_033.txt,D060,D-060,2023-12-10,HydroBuild Co,I15,community_buy_in,,4,True
field_note_034.txt,D090,D-090,2023-06-11,Delta Engineering,I15,community_buy_in,,2,True
field_note_035.txt,D112,D-112,2024-09-29,InfraTrust Consortium,I16,supply_chain,,2,True
field_note_036.txt,D030,D-030,2024-12-01,HydroBuild Co,I14,contractor_quality,procurement_delay,3,True
field_note_037.txt,D066,D-066,2024-03-03,InfraTrust Consortium,I18,community_buy_in,extreme_event_disruption,2,True
field_note_038.txt,D030,D-030,2024-07-14,InfraTrust Consortium,I12,financing_disbursement,,1,False
field_note_039.txt,D022,D-022,2024-03-31,HydroBuild Co,I15,extreme_event_disruption,,1,False
field_note_040.txt,D105,D-105,2024-08-11,Delta Engineering,I12,contractor_quality,procurement_delay,2,False
field_note_041.txt,D049,D-049,2023-07-16,InfraTrust Consortium,I02,m_e_data_gaps,,2,False
field_note_042.txt,D032,D-032,2023-11-19,CivicResilience NGO,I07,governance_fraud,,1,False
field_note_043.txt,D037,D-037,2023-06-25,BlueRiver Implementers,I07,contractor_quality,,5,False
field_note_044.txt,D045,D-045,2024-07-21,GreenWorks Alliance,I04,permitting_regulatory,,4,False
field_note_045.txt,D072,D-072,2023-05-21,BlueRiver Implementers,I05,financing_disbursement,,3,True
field_note_046.txt,D114,D-114,2023-11-12,RapidRelief Local,I04,extreme_event_disruption,,2,False
field_note_047.txt,D050,D-050,2024-07-21,RapidRelief Local,I17,contractor_quality,,4,True
field_note_048.txt,D003,D-003,2024-10-13,BlueRiver Implementers,I11,community_buy_in,,4,False
field_note_049.txt,D066,D-066,2023-07-09,GreenWorks Alliance,I10,community_buy_in,,4,True
field_note_050.txt,D120,D-120,2023-12-03,Delta Engineering,I09,partner_capacity,,4,True
field_note_051.txt,D032,D-032,2023-04-02,CommunityFirst,I10,procurement_delay,,4,False
field_note_052.txt,D019,D-019,2023-08-20,CommunityFirst,I07,community_buy_in,,1,True
field_note_053.txt,D023,D-023,2023-09-17,SunBuild Initiative,I08,partner_capacity,,4,False
field_note_054.txt,D022,D-022,2023-06-18,BlueRiver Implementers,I08,governance_fraud,,2,False
field_note_055.txt,D017,D-017,2023-11-12,SunBuild Initiative,I14,community_buy_in,,2,True
field_note_056.txt,D068,D-068,2024-04-07,HydroBuild Co,I05,procurement_delay,,3,True
field_note_057.txt,D117,D-117,2023-01-22,InfraTrust Consortium,I16,supply_chain,,4,False
field_note_058.txt,D007,D-007,2023-02-26,InfraTrust Consortium,I06,contractor_quality,,4,False
field_note_059.txt,D014,D-014,2024-04-21,InfraTrust Consortium,I08,contractor_quality,,1,False
field_note_060.txt,D076,D-076,2023-10-15,CivicResilience NGO,I08,partner_capacity,contractor_quality,3,False
field_note_061.txt,D011,D-011,2023-09-24,Delta Engineering,I09,financing_disbursement,,1,False
field_note_062.txt,D011,D-011,2023-04-16,CivicResilience NGO,I04,partner_capacity,,5,True
field_note_063.txt,D093,D-093,2024-02-11,HydroBuild Co,I12,supply_chain,financing_disbursement,4,False
field_note_064.txt,D113,D-113,2024-03-17,CommunityFirst,I05,extreme_event_disruption,,3,False
field_note_065.txt,D045,D-045,2023-10-15,InfraTrust Consortium,I11,permitting_regulatory,,3,False
field_note_066.txt,D088,D-088,2024-10-06,GreenWorks Alliance,I09,financing_disbursement,,2,True
field_note_067.txt,D038,D-038,2023-06-04,GreenWorks Alliance,I07,contractor_quality,,4,True
field_note_068.txt,D095,D-095,2023-11-05,GreenWorks Alliance,I08,m_e_data_gaps,,3,False
field_note_069.txt,D076,D-076,2023-12-03,SunBuild Initiative,I16,contractor_quality,supply_chain,4,False
field_note_070.txt,D088,D-088,2023-10-22,HydroBuild Co,I09,extreme_event_disruption,,2,False
field_note_071.txt,D059,D-059,2023-08-20,HeatSafe Partners,I03,contractor_quality,financing_disbursement,5,False
field_note_072.txt,D008,D-008,2024-05-12,HydroBuild Co,I05,governance_fraud,contractor_quality,4,True
field_note_073.txt,D057,D-057,2024-02-11,HeatSafe Partners,I07,financing_disbursement,,2,True
field_note_074.txt,D096,D-096,2024-09-29,GreenWorks Alliance,I10,community_buy_in,m_e_data_gaps,2,False
field_note_075.txt,D100,D-100,2024-08-25,HydroBuild Co,I04,extreme_event_disruption,,2,True
field_note_076.txt,D041,D-041,2023-11-12,SunBuild Initiative,I01,procurement_delay,,4,False
field_note_077.txt,D091,D-091,2024-10-06,BlueRiver Implementers,I10,contractor_quality,,2,False
field_note_078.txt,D075,D-075,2023-10-22,InfraTrust Consortium,I02,financing_disbursement,,2,False
field_note_079.txt,D105,D-105,2023-10-29,Delta Engineering,I17,contractor_quality,,3,False
field_note_080.txt,D096,D-096,2024-07-21,SunBuild Initiative,I08,community_buy_in,,4,False
field_note_081.txt,D109,D-109,2023-01-15,CommunityFirst,I09,extreme_event_disruption,,3,True
field_note_082.txt,D097,D-097,2024-07-14,SunBuild Initiative,I13,community_buy_in,governance_fraud,3,True
field_note_083.txt,D004,D-004,2023-03-26,CommunityFirst,I14,contractor_quality,,1,False
field_note_084.txt,D024,D-024,2024-06-23,RapidRelief Local,I16,m_e_data_gaps,,3,True
field_note_085.txt,D021,D-021,2024-01-07,RapidRelief Local,I10,community_buy_in,,2,True
field_note_086.txt,D050,D-050,2023-01-22,GreenWorks Alliance,I11,community_buy_in,,5,False
field_note_087.txt,D078,D-078,2024-05-05,SunBuild Initiative,I09,m_e_data_gaps,,3,True
field_note_088.txt,D047,D-047,2024-08-11,Delta Engineering,I07,community_buy_in,,4,False
field_note_089.txt,D015,D-015,2024-03-03,BlueRiver Implementers,I09,contractor_quality,,4,False
field_note_090.txt,D040,D-040,2024-07-28,BlueRiver Implementers,I12,contractor_quality,supply_chain,2,False
